aX,aY,aZ,gX,gY,gZ,Angle1,Angle2,Angle3,Angle4,Angle5
0.887,-0.036,0.083,-0.854,-32.837,32.715,4.0,10.0,13.0,32.0,3.0
0.855,0.009,0.044,-2.808,-26.794,29.114,3.0,9.0,13.0,31.0,3.0
0.849,0.030,0.031,-1.221,-12.085,26.367,4.0,9.0,13.0,31.0,4.0
0.877,0.060,0.035,4.517,-0.732,23.865,4.0,9.0,14.0,32.0,4.0
0.925,0.056,0.067,6.470,0.244,23.132,3.0,9.0,12.0,31.0,5.0
0.937,0.056,0.083,4.822,-5.737,20.874,4.0,10.0,13.0,31.0,4.0
0.936,0.065,0.088,-0.427,-15.198,18.311,4.0,9.0,13.0,33.0,4.0
0.922,0.082,0.088,-3.906,-22.583,15.930,4.0,9.0,13.0,32.0,3.0
0.888,0.099,0.093,-3.418,-23.682,14.343,4.0,9.0,13.0,31.0,4.0
0.856,0.103,0.100,0.671,-18.250,10.925,4.0,9.0,14.0,32.0,3.0
0.851,0.101,0.109,1.770,-7.690,10.620,4.0,9.0,13.0,32.0,4.0
0.847,0.100,0.119,-1.038,0.183,10.742,4.0,9.0,13.0,33.0,3.0
0.858,0.106,0.112,-2.380,2.014,9.583,3.0,10.0,13.0,32.0,2.0
0.891,0.117,0.091,-4.272,1.221,5.310,4.0,9.0,12.0,31.0,4.0
0.911,0.133,0.081,-4.089,-2.441,2.380,4.0,9.0,13.0,31.0,4.0
0.906,0.137,0.081,-2.625,-4.333,1.892,4.0,9.0,14.0,32.0,3.0
0.883,0.143,0.077,-1.160,-0.977,1.282,4.0,9.0,14.0,32.0,4.0
0.880,0.150,0.083,0.488,2.136,1.709,4.0,9.0,13.0,33.0,4.0
0.871,0.135,0.093,3.296,8.911,3.601,4.0,10.0,14.0,31.0,4.0
0.870,0.131,0.101,3.052,14.587,2.075,4.0,10.0,13.0,31.0,3.0

1.166,-0.698,1.252,117.432,15.503,0.427,4.0,9.0,13.0,30.0,5.0
1.007,-0.359,0.823,-47.852,33.813,34.973,5.0,8.0,13.0,31.0,3.0
0.862,-0.130,0.285,-100.586,38.391,46.265,4.0,9.0,13.0,33.0,4.0
0.987,-0.010,-0.090,-96.375,42.053,41.565,4.0,8.0,13.0,32.0,3.0
1.252,0.152,-0.285,-90.271,13.611,28.137,5.0,10.0,13.0,33.0,3.0
0.892,0.417,-0.735,-20.996,-76.782,-17.700,4.0,9.0,13.0,30.0,4.0
0.652,0.421,-0.792,104.431,-79.651,-64.148,4.0,8.0,13.0,31.0,3.0
0.831,0.008,-0.059,146.606,-11.414,-52.490,4.0,9.0,13.0,30.0,2.0
1.142,-0.554,1.276,93.201,12.207,-21.301,4.0,9.0,13.0,32.0,3.0
1.027,-0.274,0.724,-46.265,24.475,21.362,4.0,8.0,14.0,29.0,3.0
0.839,-0.124,0.213,-71.350,25.391,19.348,3.0,9.0,13.0,31.0,4.0
0.844,-0.126,0.184,-107.117,47.974,30.579,3.0,9.0,14.0,30.0,4.0
0.937,0.014,0.073,-123.230,48.157,33.264,4.0,9.0,13.0,30.0,5.0
0.918,0.180,-0.180,-105.225,18.250,13.123,4.0,10.0,13.0,30.0,4.0
0.801,0.200,-0.253,-42.603,-6.592,-18.799,5.0,9.0,13.0,33.0,4.0
0.799,0.171,-0.198,5.554,-6.287,-38.696,4.0,9.0,13.0,28.0,4.0
0.818,0.100,-0.061,11.902,1.709,-34.546,3.0,9.0,14.0,30.0,4.0
0.807,0.076,-0.016,5.554,10.864,-30.518,4.0,8.0,13.0,29.0,3.0
0.931,0.054,-0.011,-3.784,28.564,-27.344,3.0,8.0,13.0,31.0,4.0
1.005,0.034,-0.028,-5.127,25.818,-29.236,3.0,9.0,13.0,31.0,4.0
1.104,0.022,-0.092,-1.892,10.925,-32.471,4.0,8.0,14.0,30.0,5.0
1.151,0.021,-0.150,1.282,5.615,-32.166,4.0,9.0,13.0,33.0,4.0
1.177,0.002,-0.143,8.972,3.540,-25.085,4.0,9.0,12.0,32.0,3.0
1.168,-0.021,-0.105,14.282,8.728,-12.695,4.0,9.0,14.0,29.0,4.0
1.168,-0.034,-0.078,17.090,15.442,-3.052,4.0,8.0,13.0,32.0,3.0
1.166,-0.066,-0.017,17.334,12.756,2.014,4.0,9.0,13.0,30.0,3.0
1.099,-0.080,0.006,15.747,8.667,3.235,4.0,10.0,13.0,31.0,4.0
0.993,-0.063,-0.011,12.390,2.991,3.296,3.0,9.0,13.0,30.0,3.0
0.956,-0.060,-0.017,11.658,0.000,1.526,4.0,9.0,13.0,31.0,4.0
0.918,-0.056,-0.026,10.925,-2.991,-2.686,3.0,9.0,14.0,31.0,2.0
0.899,-0.047,-0.025,11.414,-4.089,-5.066,4.0,9.0,13.0,30.0,4.0
0.890,-0.046,-0.008,14.221,-4.333,-9.827,4.0,9.0,13.0,30.0,5.0
0.892,-0.051,0.022,16.968,-2.869,-14.160,3.0,9.0,13.0,29.0,3.0
0.890,-0.051,0.038,14.648,-3.784,-18.433,4.0,9.0,13.0,31.0,3.0
0.885,-0.040,0.070,8.057,-8.179,-23.926,4.0,8.0,13.0,30.0,3.0
0.861,-0.024,0.093,2.197,-18.311,-31.189,4.0,9.0,13.0,31.0,3.0
0.770,0.003,0.100,0.488,-22.278,-35.400,4.0,9.0,13.0,32.0,2.0
0.704,0.028,0.083,-0.366,-18.738,-42.297,4.0,9.0,13.0,29.0,3.0
0.797,0.021,0.079,-2.014,-0.366,-43.152,4.0,9.0,13.0,30.0,3.0
0.877,0.010,0.075,-9.216,12.024,-38.696,4.0,10.0,12.0,29.0,5.0
1.033,0.005,0.061,-18.127,4.150,-37.109,4.0,9.0,14.0,32.0,3.0
1.064,0.038,0.005,-20.325,-4.517,-37.842,4.0,9.0,13.0,31.0,4.0
1.018,0.082,-0.060,-13.550,-13.123,-39.001,4.0,10.0,13.0,30.0,4.0
1.068,0.022,-0.059,1.038,-4.089,-33.813,4.0,9.0,13.0,30.0,3.0
1.107,-0.022,-0.047,2.625,2.869,-22.400,4.0,9.0,12.0,31.0,3.0
1.138,-0.088,-0.038,-3.540,5.310,-13.550,3.0,9.0,12.0,31.0,4.0
1.177,-0.119,-0.026,-3.967,4.761,-12.024,4.0,8.0,13.0,30.0,4.0
1.210,-0.155,-0.014,1.709,-2.319,-12.268,4.0,9.0,14.0,30.0,3.0
1.235,-0.174,-0.019,3.723,-13.855,-7.629,3.0,9.0,13.0,31.0,3.0
1.190,-0.183,-0.064,7.263,-16.968,2.747,4.0,9.0,13.0,33.0,3.0
1.191,-0.244,-0.069,11.108,-12.085,7.812,4.0,9.0,13.0,31.0,3.0
1.244,-0.327,-0.050,14.893,-2.686,18.860,4.0,9.0,12.0,33.0,3.0
1.210,-0.349,-0.052,11.719,0.793,28.320,3.0,10.0,14.0,30.0,3.0
1.192,-0.349,-0.052,10.437,5.737,34.058,4.0,9.0,13.0,31.0,2.0
1.201,-0.347,-0.038,11.169,6.592,36.255,4.0,9.0,13.0,30.0,4.0
1.200,-0.358,-0.040,14.465,-1.221,39.490,3.0,10.0,13.0,29.0,3.0
1.174,-0.358,-0.048,19.104,-15.686,39.673,4.0,9.0,13.0,30.0,5.0
1.094,-0.332,-0.048,21.423,-20.020,39.307,4.0,9.0,13.0,31.0,4.0
0.997,-0.294,-0.023,24.841,-18.555,40.100,4.0,9.0,12.0,30.0,4.0
0.971,-0.283,-0.007,25.696,-7.874,39.978,3.0,9.0,13.0,31.0,4.0
0.980,-0.262,0.025,20.813,-1.831,38.635,4.0,9.0,13.0,34.0,3.0
0.981,-0.223,0.047,17.273,-2.319,38.086,4.0,9.0,12.0,30.0,3.0
0.972,-0.207,0.047,12.329,-7.690,34.729,4.0,9.0,13.0,27.0,4.0
0.981,-0.177,0.048,10.986,-12.268,32.166,4.0,9.0,14.0,30.0,4.0
0.978,-0.150,0.061,8.850,-24.963,28.748,3.0,8.0,13.0,30.0,3.0
0.911,-0.123,0.070,7.324,-33.752,27.710,4.0,9.0,13.0,29.0,5.0
0.902,-0.118,0.081,7.263,-28.625,26.367,4.0,9.0,13.0,31.0,4.0
0.906,-0.101,0.106,5.493,-24.658,26.978,3.0,9.0,13.0,29.0,4.0
0.892,-0.071,0.107,0.244,-15.808,29.358,3.0,8.0,13.0,31.0,3.0
0.893,-0.058,0.109,-1.953,-6.714,30.090,3.0,10.0,12.0,29.0,4.0

1.178,-0.873,1.714,97.839,-5.127,-14.587,4.0,9.0,13.0,30.0,4.0
1.232,-0.402,0.917,-86.060,26.428,34.119,3.0,9.0,14.0,30.0,3.0
0.962,-0.148,0.303,-115.112,-6.042,41.382,4.0,9.0,12.0,31.0,4.0
0.694,0.062,-0.140,-114.258,6.042,38.757,4.0,9.0,13.0,31.0,4.0
1.037,0.273,-0.350,-111.694,35.461,31.189,4.0,9.0,13.0,31.0,2.0
1.091,0.389,-0.528,-35.950,-14.709,3.662,4.0,9.0,13.0,32.0,3.0
0.790,0.427,-0.808,27.588,-40.710,-22.034,3.0,8.0,13.0,31.0,2.0
0.838,0.135,-0.290,142.029,-35.034,-68.848,3.0,8.0,13.0,30.0,3.0
1.064,-0.550,1.181,132.507,1.587,-49.072,3.0,9.0,14.0,29.0,4.0
1.205,-0.545,1.468,-39.307,37.354,20.935,4.0,8.0,12.0,31.0,2.0
0.929,-0.122,0.347,-78.064,22.461,30.396,3.0,8.0,14.0,30.0,3.0
0.758,-0.022,0.097,-65.002,13.672,9.033,3.0,9.0,13.0,30.0,4.0
0.834,-0.044,0.172,-73.242,27.039,1.587,3.0,8.0,14.0,29.0,4.0
0.908,0.039,0.155,-78.735,18.677,-4.028,4.0,9.0,13.0,32.0,4.0
0.784,0.147,-0.027,-62.073,-5.432,-30.151,3.0,8.0,14.0,31.0,2.0
0.714,0.199,-0.034,-27.527,-4.639,-49.133,3.0,9.0,14.0,30.0,3.0
