aX,aY,aZ,gX,gY,gZ,Angle1,Angle2,Angle3,Angle4,Angle5
0.574,0.685,-0.475,-1.831,-3.235,1.709,0.0,22.0,19.0,31.0,0.0
0.589,0.686,-0.450,-0.244,-3.662,1.038,0.0,23.0,19.0,32.0,0.0
0.581,0.686,-0.443,0.366,-4.761,0.916,0.0,22.0,18.0,32.0,0.0
0.569,0.681,-0.437,1.465,-4.944,1.709,0.0,23.0,18.0,28.0,0.0
0.570,0.679,-0.435,2.441,-3.601,2.563,0.0,22.0,19.0,30.0,0.0
0.570,0.669,-0.424,1.770,-3.967,3.235,0.0,22.0,19.0,31.0,0.0
0.551,0.679,-0.415,1.221,-3.967,3.601,1.0,22.0,17.0,32.0,0.0
0.542,0.684,-0.405,0.549,-2.380,2.747,0.0,22.0,18.0,33.0,0.0
0.545,0.694,-0.403,-1.099,-0.183,1.526,0.0,22.0,20.0,29.0,0.0
0.546,0.702,-0.409,-1.648,1.831,0.671,0.0,22.0,18.0,32.0,0.0
0.554,0.699,-0.419,-1.526,3.296,0.244,0.0,23.0,19.0,31.0,0.0
0.577,0.694,-0.424,-2.075,4.639,-0.305,0.0,23.0,19.0,30.0,0.0
0.580,0.693,-0.430,-2.747,2.136,-0.183,0.0,23.0,18.0,31.0,0.0
0.571,0.694,-0.440,-2.136,0.305,-0.488,0.0,22.0,20.0,32.0,0.0
0.573,0.700,-0.444,-1.221,0.183,-1.160,0.0,22.0,18.0,32.0,0.0
0.583,0.689,-0.442,0.610,0.122,-1.953,0.0,22.0,19.0,30.0,0.0
0.585,0.690,-0.449,0.671,-0.305,-1.282,0.0,23.0,18.0,31.0,0.0
0.585,0.691,-0.452,1.282,0.366,-1.221,0.0,21.0,19.0,32.0,0.0
0.593,0.701,-0.452,1.831,0.916,-1.221,0.0,24.0,17.0,32.0,0.0
0.593,0.704,-0.446,4.150,0.366,-1.282,0.0,22.0,19.0,30.0,0.0
0.588,0.695,-0.439,6.104,-1.709,-0.427,0.0,23.0,19.0,30.0,0.0
0.572,0.682,-0.425,3.601,-2.197,1.160,0.0,22.0,18.0,31.0,0.0
0.554,0.700,-0.434,2.686,-1.160,0.977,0.0,23.0,19.0,31.0,0.0
0.566,0.696,-0.431,4.639,0.854,-0.977,0.0,24.0,19.0,31.0,0.0
0.572,0.689,-0.429,5.859,-1.038,-1.343,0.0,21.0,19.0,32.0,0.0

0.565,0.766,-0.892,11.963,12.878,-7.690,0.0,22.0,18.0,31.0,0.0
0.587,0.769,-0.683,35.889,-17.334,-6.958,0.0,22.0,19.0,32.0,0.0
0.601,0.757,-0.523,48.035,-35.400,-7.507,1.0,22.0,19.0,40.0,0.0
0.623,0.652,-0.049,46.509,-34.973,-6.409,0.0,23.0,19.0,39.0,0.0
0.733,0.657,0.289,20.813,-7.568,-0.732,0.0,22.0,20.0,38.0,0.0
0.849,0.720,0.112,-4.028,4.883,-1.160,0.0,22.0,18.0,34.0,0.0
0.793,0.665,-0.017,-18.250,-20.630,4.700,0.0,21.0,19.0,32.0,0.0
0.532,0.604,-0.278,-28.564,-25.085,10.010,0.0,22.0,19.0,32.0,0.0
0.429,0.647,-0.513,-43.518,0.366,12.024,0.0,22.0,18.0,33.0,0.0
0.456,0.679,-0.595,-39.185,33.203,5.188,1.0,22.0,18.0,32.0,0.0
0.570,0.704,-0.644,-19.775,33.997,0.854,0.0,22.0,19.0,31.0,0.0
0.636,0.670,-0.574,-11.414,21.301,1.587,0.0,22.0,19.0,30.0,0.0
0.536,0.683,-0.533,-4.883,-11.353,5.615,0.0,23.0,18.0,31.0,0.0
0.472,0.706,-0.520,-3.479,-21.851,6.104,0.0,23.0,18.0,30.0,0.0
0.427,0.734,-0.466,-2.380,-17.822,3.296,0.0,22.0,18.0,32.0,0.0
0.482,0.717,-0.385,0.305,-4.395,-4.456,0.0,22.0,19.0,31.0,0.0
0.556,0.669,-0.309,0.671,1.282,-9.399,0.0,22.0,19.0,31.0,0.0
0.572,0.648,-0.293,-3.235,-1.282,-9.644,0.0,21.0,20.0,31.0,0.0
0.574,0.641,-0.311,-8.606,-0.549,-9.216,0.0,22.0,18.0,30.0,0.0
0.598,0.656,-0.360,-11.597,2.563,-8.789,0.0,22.0,18.0,32.0,0.0
0.631,0.665,-0.407,-18.799,8.972,-7.080,0.0,21.0,19.0,32.0,0.0
0.638,0.678,-0.432,-21.301,11.719,-3.357,0.0,22.0,18.0,32.0,0.0
0.640,0.673,-0.464,-15.869,11.414,-1.343,0.0,22.0,18.0,31.0,0.0
0.639,0.661,-0.476,-14.160,10.010,-0.854,0.0,22.0,18.0,32.0,0.0
0.616,0.676,-0.509,-13.367,7.141,1.221,0.0,22.0,19.0,31.0,0.0
0.609,0.683,-0.523,-11.230,6.775,3.113,0.0,23.0,19.0,31.0,0.0
0.613,0.687,-0.525,-6.897,5.188,2.930,0.0,22.0,18.0,31.0,0.0
0.615,0.684,-0.510,-4.883,3.235,2.319,0.0,22.0,19.0,30.0,0.0
0.591,0.681,-0.514,-2.625,-0.916,1.221,0.0,24.0,18.0,31.0,0.0
0.583,0.679,-0.517,0.061,1.587,3.357,0.0,23.0,18.0,30.0,0.0
0.607,0.671,-0.496,1.770,2.869,3.235,0.0,22.0,18.0,31.0,0.0
0.608,0.660,-0.470,3.540,-1.404,0.793,0.0,22.0,17.0,31.0,0.0
0.587,0.664,-0.456,3.052,-5.066,0.732,0.0,22.0,18.0,31.0,0.0
0.584,0.668,-0.453,2.747,-4.150,1.160,0.0,22.0,18.0,30.0,0.0
0.575,0.666,-0.450,3.357,-1.709,0.793,0.0,22.0,18.0,33.0,0.0
0.583,0.662,-0.437,3.418,-0.305,0.549,0.0,22.0,18.0,30.0,0.0
0.593,0.667,-0.431,2.747,-0.061,1.587,0.0,23.0,18.0,31.0,0.0
0.585,0.666,-0.433,2.625,-1.160,2.441,0.0,22.0,18.0,31.0,0.0
0.579,0.671,-0.435,2.747,-0.061,1.526,0.0,22.0,19.0,32.0,0.0
0.594,0.668,-0.426,2.441,0.000,1.221,0.0,22.0,19.0,34.0,0.0
0.582,0.677,-0.432,1.038,-2.014,1.831,1.0,22.0,19.0,31.0,0.0
0.567,0.676,-0.438,1.160,-2.197,1.831,1.0,23.0,17.0,32.0,0.0
0.555,0.677,-0.446,1.160,-0.366,1.770,0.0,21.0,18.0,32.0,0.0
0.572,0.673,-0.446,0.732,3.540,1.221,0.0,23.0,18.0,32.0,0.0
0.584,0.674,-0.445,0.122,2.380,0.732,0.0,23.0,18.0,31.0,0.0
0.586,0.678,-0.449,0.183,-2.136,0.854,0.0,23.0,18.0,30.0,0.0
0.563,0.679,-0.455,0.732,-2.808,0.488,0.0,22.0,18.0,31.0,0.0
0.573,0.671,-0.446,1.709,-0.549,-1.343,0.0,22.0,18.0,32.0,0.0
0.582,0.677,-0.446,2.136,0.793,-1.892,0.0,22.0,18.0,31.0,0.0
0.589,0.679,-0.442,3.052,0.549,-1.709,0.0,22.0,18.0,32.0,0.0
0.595,0.672,-0.430,3.601,-0.244,-0.793,0.0,21.0,18.0,30.0,0.0
0.587,0.673,-0.431,2.075,-1.404,0.061,0.0,22.0,17.0,32.0,0.0
0.585,0.676,-0.432,0.732,-1.709,-0.061,0.0,22.0,19.0,32.0,0.0
0.579,0.684,-0.441,0.610,-1.648,-0.183,0.0,22.0,19.0,31.0,0.0
0.584,0.682,-0.444,1.099,-0.183,0.061,0.0,22.0,18.0,32.0,0.0
0.590,0.683,-0.445,1.282,0.366,-0.061,0.0,22.0,18.0,28.0,0.0
0.601,0.681,-0.442,1.465,-2.625,-0.305,0.0,23.0,18.0,31.0,0.0
0.593,0.677,-0.447,1.465,-4.700,-0.305,0.0,22.0,18.0,31.0,0.0
0.605,0.671,-0.450,1.343,-7.080,-0.061,0.0,22.0,19.0,31.0,0.0
0.614,0.672,-0.453,-0.061,-11.169,1.526,0.0,22.0,18.0,29.0,0.0
0.584,0.692,-0.477,1.892,-13.550,1.648,0.0,22.0,18.0,30.0,0.0
0.558,0.694,-0.481,4.272,-11.292,0.732,0.0,23.0,18.0,30.0,0.0
0.588,0.673,-0.454,8.301,-3.235,-2.014,0.0,22.0,19.0,30.0,0.0
0.626,0.656,-0.417,8.057,-1.038,-1.648,1.0,23.0,18.0,32.0,0.0
0.621,0.659,-0.409,5.432,-5.981,1.648,0.0,22.0,18.0,31.0,0.0
0.591,0.659,-0.389,4.700,-7.874,2.197,0.0,21.0,18.0,31.0,0.0
0.580,0.657,-0.364,3.113,-8.911,2.075,0.0,23.0,19.0,31.0,0.0
0.571,0.655,-0.354,2.258,-7.690,2.319,0.0,21.0,18.0,31.0,0.0
0.559,0.644,-0.334,1.465,-3.052,1.587,0.0,22.0,17.0,32.0,0.0
0.572,0.639,-0.322,0.305,-0.610,0.977,0.0,22.0,17.0,31.0,0.0

0.527,0.752,-1.156,-18.860,30.457,-15.320,0.0,22.0,17.0,32.0,0.0
0.614,0.708,-1.029,29.419,5.737,-17.151,0.0,23.0,18.0,30.0,0.0
0.668,0.691,-0.853,60.486,-20.264,-12.390,0.0,22.0,19.0,33.0,0.0
0.779,0.604,-0.300,65.247,-32.715,-7.385,0.0,22.0,18.0,34.0,0.0
