aX,aY,aZ,gX,gY,gZ,Angle1,Angle2,Angle3,Angle4,Angle5
891,-78,-334,-25.757,671,6.287,6.0,15.0,18.0,36.0,7.0
889,-87,-309,-16.235,10.925,5.554,5.0,16.0,17.0,38.0,7.0
917,-110,-279,-14.282,19.409,7.141,6.0,15.0,17.0,35.0,7.0
938,-127,-264,-21.057,14.587,7.202,6.0,16.0,17.0,36.0,8.0
888,-99,-329,-23.865,11.658,7.080,5.0,16.0,17.0,36.0,7.0
846,-59,-385,-20.386,11.963,5.432,5.0,16.0,17.0,35.0,8.0
835,-54,-387,-8.972,18.494,2.563,5.0,16.0,18.0,36.0,6.0
865,-79,-330,-6.348,21.667,1.587,5.0,16.0,17.0,36.0,7.0
902,-112,-269,-9.705,17.334,671,5.0,15.0,18.0,37.0,6.0
841,-100,-303,-20.874,4.333,-2.441,6.0,15.0,18.0,34.0,8.0
817,-82,-332,-25.146,6.836,-5.432,5.0,16.0,17.0,35.0,7.0
836,-80,-354,-23.621,13.062,-5.798,5.0,16.0,18.0,35.0,8.0
936,-109,-330,-20.691,20.752,-5.676,5.0,16.0,17.0,36.0,8.0
969,-127,-339,-22.705,7.996,-6.104,6.0,15.0,17.0,36.0,6.0
923,-117,-364,-25.208,-8.057,-7.080,5.0,15.0,17.0,36.0,8.0
909,-116,-369,-23.315,-9.644,-7.141,6.0,15.0,17.0,35.0,7.0
886,-101,-406,-21.118,-5.310,-6.104,5.0,15.0,17.0,37.0,7.0
934,-108,-421,-11.719,9.277,-2.441,6.0,16.0,18.0,38.0,7.0
968,-120,-417,-2.625,15.381,2.563,5.0,16.0,18.0,34.0,7.0
973,-130,-419,2.380,13.367,5.005,6.0,16.0,17.0,35.0,8.0
964,-126,-419,3.723,12.878,5.737,5.0,16.0,17.0,36.0,7.0
969,-131,-414,5.432,10.498,6.165,5.0,16.0,18.0,35.0,7.0
966,-131,-414,5.554,4.578,5.615,6.0,16.0,17.0,36.0,7.0
947,-122,-429,7.385,-244,4.089,6.0,15.0,17.0,36.0,6.0
934,-109,-429,9.521,-977,3.723,6.0,15.0,17.0,35.0,8.0

1.702,-142,-454,-17.212,35.278,-15.625,6.0,15.0,17.0,37.0,7.0
1.600,-88,-545,13.977,60.608,34.180,5.0,15.0,17.0,36.0,7.0
1.259,-25,-463,43.884,48.706,58.289,6.0,16.0,17.0,37.0,6.0
1.016,-8,-381,55.603,18.127,59.082,5.0,15.0,17.0,36.0,7.0
609,17,-204,51.514,6.592,50.354,6.0,15.0,18.0,36.0,6.0
426,48,-92,27.161,-11.780,18.982,5.0,15.0,18.0,37.0,6.0
